Contexto;Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Nueva Columna
Arquitectónicamente, la escuela tiene un carácter católico. Encima de la cúpula de oro del edificio principal hay una estatua dorada de la Virgen María. Inmediatamente delante del edificio principal y frente a él, hay una estatua de cobre de Cristo con los brazos levantados con la leyenda Venite Ad Me Omnes. Junto al edificio principal está la Basílica del Sagrado Corazón. Inmediatamente detrás de la basílica está la Gruta, un lugar mariano de oración y reflexión. Es una réplica de la gruta de Lourdes, Francia, donde la Virgen María supuestamente se le apareció a Santa Bernadette Soubirous en 1858. Al final de la unidad principal (y en una línea directa que se conecta a través de 3 estatuas y la Cúpula de Oro), hay una simple y moderna estatua de piedra de María.;¿A quién acudió la Virgen María supuestamente en 1858 en Lourdes France?;Santa Bernadette Soubirous;Santa Teresa de Ávila;Juana Francisca Bobedilla;María de Agreda;Santa Bernadette Soubirous;Valor Predeterminado
Arquitectónicamente, la escuela tiene un carácter católico. Encima de la cúpula de oro del edificio principal hay una estatua dorada de la Virgen María. Inmediatamente delante del edificio principal y frente a él, hay una estatua de cobre de Cristo con los brazos levantados con la leyenda Venite Ad Me Omnes. Junto al edificio principal está la Basílica del Sagrado Corazón. Inmediatamente detrás de la basílica está la Gruta, un lugar mariano de oración y reflexión. Es una réplica de la gruta de Lourdes, Francia, donde la Virgen María supuestamente se le apareció a Santa Bernadette Soubirous en 1858. Al final de la unidad principal (y en una línea directa que se conecta a través de 3 estatuas y la Cúpula de Oro), hay una simple y moderna estatua de piedra de María.;¿Qué hay frente al edificio principal de Notre Dame?;una estatua de cobre de Cristo;Una estatua de mármol de la Inmaculada Concepción.;Una estatua de madera de Jesús crucificado.;Una estatua de bronce de San Juan Bautista.;una estatua de cobre de Cristo;Valor Predeterminado
Arquitectónicamente, la escuela tiene un carácter católico. Encima de la cúpula de oro del edificio principal hay una estatua dorada de la Virgen María. Inmediatamente delante del edificio principal y frente a él, hay una estatua de cobre de Cristo con los brazos levantados con la leyenda Venite Ad Me Omnes. Junto al edificio principal está la Basílica del Sagrado Corazón. Inmediatamente detrás de la basílica está la Gruta, un lugar mariano de oración y reflexión. Es una réplica de la gruta de Lourdes, Francia, donde la Virgen María supuestamente se le apareció a Santa Bernadette Soubirous en 1858. Al final de la unidad principal (y en una línea directa que se conecta a través de 3 estatuas y la Cúpula de Oro), hay una simple y moderna estatua de piedra de María.;La Basílica del Sagrado Corazón en Notre Dame está al lado de qué estructura?;La Basílica del Sagrado Corazón en Notre Dame está al lado de la Gruta.;el edificio principal;La Basílica del Sagrado Corazón en Notre Dame está al lado de la Cúpula de Oro.;La Basílica del Sagrado Corazón en Notre Dame está al lado de la estatua de Cristo.;el edificio principal;Valor Predeterminado
Arquitectónicamente, la escuela tiene un carácter católico. Encima de la cúpula de oro del edificio principal hay una estatua dorada de la Virgen María. Inmediatamente delante del edificio principal y frente a él, hay una estatua de cobre de Cristo con los brazos levantados con la leyenda Venite Ad Me Omnes. Junto al edificio principal está la Basílica del Sagrado Corazón. Inmediatamente detrás de la basílica está la Gruta, un lugar mariano de oración y reflexión. Es una réplica de la gruta de Lourdes, Francia, donde la Virgen María supuestamente se le apareció a Santa Bernadette Soubirous en 1858. Al final de la unidad principal (y en una línea directa que se conecta a través de 3 estatuas y la Cúpula de Oro), hay una simple y moderna estatua de piedra de María.;¿Qué es la Gruta de Notre Dame?;un lugar mariano de oración y reflexión;La Gruta de Notre Dame es un edificio deportivo.;La Gruta de Notre Dame es un centro comunitario.;La Gruta de Notre Dame es un museo de arte religioso.;un lugar mariano de oración y reflexión;Valor Predeterminado
Arquitectónicamente, la escuela tiene un carácter católico. Encima de la cúpula de oro del edificio principal hay una estatua dorada de la Virgen María. Inmediatamente delante del edificio principal y frente a él, hay una estatua de cobre de Cristo con los brazos levantados con la leyenda Venite Ad Me Omnes. Junto al edificio principal está la Basílica del Sagrado Corazón. Inmediatamente detrás de la basílica está la Gruta, un lugar mariano de oración y reflexión. Es una réplica de la gruta de Lourdes, Francia, donde la Virgen María supuestamente se le apareció a Santa Bernadette Soubirous en 1858. Al final de la unidad principal (y en una línea directa que se conecta a través de 3 estatuas y la Cúpula de Oro), hay una simple y moderna estatua de piedra de María.;¿Qué se encuentra en la parte superior del edificio principal de Notre Dame?;Una réplica de la gruta de Lourdes.;una estatua dorada de la Virgen María;Una estatua de cobre de Cristo.;La Basílica del Sagrado Corazón.;una estatua dorada de la Virgen María;Valor Predeterminado
"Como en la mayoría de las otras universidades, los estudiantes de Notre Dame tienen una serie de medios de comunicación. Los nueve puntos de venta dirigidos por estudiantes incluyen tres periódicos, tanto una estación de radio y televisión, y varias revistas y diarios. Comenzó como una revista de una página en septiembre de 1876, la revista Scholastic se publica dos veces al mes y afirma ser la publicación colegial continua más antigua de los Estados Unidos. La otra revista, The Juggler, se publica dos veces al año y se centra en la literatura estudiantil y el arte. El anuario Dome se publica anualmente. Los periódicos tienen diferentes intereses de publicación, con The Observer publicado diariamente y principalmente reportando la universidad y otras noticias, y el personal de estudiantes de Notre Dame y Saint Mary 's College. A diferencia de Scholastic y The Dome, The Observer es una publicación independiente y no tiene un asesor de la facultad ni ninguna supervisión editorial de la Universidad. En 1987, cuando algunos estudiantes creían que The Observer comenzó a mostrar un sesgo conservador, un periódico liberal, Common Sense fue publicado. Del mismo modo, en 2003, cuando otros estudiantes creían que el periódico mostraba un sesgo liberal, el periódico conservador Irish Rover entró en producción. Ningún periódico es publicado tan a menudo como The Observer; Sin embargo, los tres están distribuidos a todos los estudiantes. Finalmente, en la primavera de 2008, una revista de pregrado para investigación en ciencias políticas, Beyond Politics, hizo su debut.";¿Cuándo comenzó la revista escolástica de Notre Dame?;En octubre de 1865.;de una página en septiembre de 1876;En septiembre de 1880.;Comenzó en enero de 1877.;de una página en septiembre de 1876;Valor Predeterminado
"Como en la mayoría de las otras universidades, los estudiantes de Notre Dame tienen una serie de medios de comunicación. Los nueve puntos de venta dirigidos por estudiantes incluyen tres periódicos, tanto una estación de radio y televisión, y varias revistas y diarios. Comenzó como una revista de una página en septiembre de 1876, la revista Scholastic se publica dos veces al mes y afirma ser la publicación colegial continua más antigua de los Estados Unidos. La otra revista, The Juggler, se publica dos veces al año y se centra en la literatura estudiantil y el arte. El anuario Dome se publica anualmente. Los periódicos tienen diferentes intereses de publicación, con The Observer publicado diariamente y principalmente reportando la universidad y otras noticias, y el personal de estudiantes de Notre Dame y Saint Mary 's College. A diferencia de Scholastic y The Dome, The Observer es una publicación independiente y no tiene un asesor de la facultad ni ninguna supervisión editorial de la Universidad. En 1987, cuando algunos estudiantes creían que The Observer comenzó a mostrar un sesgo conservador, un periódico liberal, Common Sense fue publicado. Del mismo modo, en 2003, cuando otros estudiantes creían que el periódico mostraba un sesgo liberal, el periódico conservador Irish Rover entró en producción. Ningún periódico es publicado tan a menudo como The Observer; Sin embargo, los tres están distribuidos a todos los estudiantes. Finalmente, en la primavera de 2008, una revista de pregrado para investigación en ciencias políticas, Beyond Politics, hizo su debut.";¿Con qué frecuencia se publica el Juggler de Notre Dame?;Tres veces al día;dos veces;Una vez al año;Cuatro veces al mes;dos veces;Valor Predeterminado
"Como en la mayoría de las otras universidades, los estudiantes de Notre Dame tienen una serie de medios de comunicación. Los nueve puntos de venta dirigidos por estudiantes incluyen tres periódicos, tanto una estación de radio y televisión, y varias revistas y diarios. Comenzó como una revista de una página en septiembre de 1876, la revista Scholastic se publica dos veces al mes y afirma ser la publicación colegial continua más antigua de los Estados Unidos. La otra revista, The Juggler, se publica dos veces al año y se centra en la literatura estudiantil y el arte. El anuario Dome se publica anualmente. Los periódicos tienen diferentes intereses de publicación, con The Observer publicado diariamente y principalmente reportando la universidad y otras noticias, y el personal de estudiantes de Notre Dame y Saint Mary 's College. A diferencia de Scholastic y The Dome, The Observer es una publicación independiente y no tiene un asesor de la facultad ni ninguna supervisión editorial de la Universidad. En 1987, cuando algunos estudiantes creían que The Observer comenzó a mostrar un sesgo conservador, un periódico liberal, Common Sense fue publicado. Del mismo modo, en 2003, cuando otros estudiantes creían que el periódico mostraba un sesgo liberal, el periódico conservador Irish Rover entró en producción. Ningún periódico es publicado tan a menudo como The Observer; Sin embargo, los tres están distribuidos a todos los estudiantes. Finalmente, en la primavera de 2008, una revista de pregrado para investigación en ciencias políticas, Beyond Politics, hizo su debut.";¿Cómo se llama el periódico estudiantil diario de Notre Dame?;The Juggler;The Dome;El Irish Rover;The Observer;The Observer;Valor Predeterminado
La universidad es la sede principal de la Congregación de Santa Cruz (aunque no su sede oficial, que se encuentra en Roma). Su seminario principal, el Seminario de Moreau, se encuentra en el campus a través del lago San José desde el Edificio Principal. Old College, el edificio más antiguo del campus y situado cerca de la orilla del lago St. Mary, alberga a seminaristas. Sacerdotes y hermanos retirados residen en Fatima House (un antiguo centro de retiro), Holy Cross House, así como en Columba Hall cerca de Grotto. La universidad a través del Seminario Moreau tiene vínculos con el teólogo Frederick Buechner. Aunque no es católico, Buechner ha elogiado a los escritores de Notre Dame y el Seminario Moreau creado un Premio Buechner para la predicación.;¿Dónde está la sede de la Congregación de la Santa Cruz?;En el campus de Notre Dame.;A través del lago San José desde el Edificio Principal.;Roma;Alberga a seminaristas en Old College.;Roma;Valor Predeterminado
La universidad es la sede principal de la Congregación de Santa Cruz (aunque no su sede oficial, que se encuentra en Roma). Su seminario principal, el Seminario de Moreau, se encuentra en el campus a través del lago San José desde el Edificio Principal. Old College, el edificio más antiguo del campus y situado cerca de la orilla del lago St. Mary, alberga a seminaristas. Sacerdotes y hermanos retirados residen en Fatima House (un antiguo centro de retiro), Holy Cross House, así como en Columba Hall cerca de Grotto. La universidad a través del Seminario Moreau tiene vínculos con el teólogo Frederick Buechner. Aunque no es católico, Buechner ha elogiado a los escritores de Notre Dame y el Seminario Moreau creado un Premio Buechner para la predicación.;¿Cuál es el seminario principal de la Congregación de la Santa Cruz?;Seminario de Moreau;Instituto Santa María;Seminario de Saint Joseph;Colegio San Juan;Seminario de Moreau;Valor Predeterminado
La universidad es la sede principal de la Congregación de Santa Cruz (aunque no su sede oficial, que se encuentra en Roma). Su seminario principal, el Seminario de Moreau, se encuentra en el campus a través del lago San José desde el Edificio Principal. Old College, el edificio más antiguo del campus y situado cerca de la orilla del lago St. Mary, alberga a seminaristas. Sacerdotes y hermanos retirados residen en Fatima House (un antiguo centro de retiro), Holy Cross House, así como en Columba Hall cerca de Grotto. La universidad a través del Seminario Moreau tiene vínculos con el teólogo Frederick Buechner. Aunque no es católico, Buechner ha elogiado a los escritores de Notre Dame y el Seminario Moreau creado un Premio Buechner para la predicación.;¿Cuál es la estructura más antigua de Notre Dame?;El Edificio del Teatro;Old College;La Casa del Lago San José;El Seminario de Moreau;Old College;Valor Predeterminado
